id,name,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
149,스파이더맨: 노 웨이 홈,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
252,이터널스,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
297,엔칸토: 마법의 세계,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1
298,언포기버블,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
351,톰과 제리,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1
380,인질,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
745,돈 룩 업,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
27,몬스터 헌터,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1
445,귀멸의 칼날: 남매의 연,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0
567,삼진그룹 영어토익반,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
619,미스터트록: 더 무비,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
638,테넷,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
714,콰이어트 플레이스 2,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0
874,원더 우먼 1984,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
896,인비저블맨,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
905,프리즌 이스케이프,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1
39,내겐 너무 어려운 연애,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
121,레고 무비2,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1
188,애나벨 집으로,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
228,말레피센트 2,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
230,너를 만난 여름,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1
323,밤쉘: 세상을 바꾼 폭탄선언,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
370,슈퍼펫,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0
642,47미터 2,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
643,안녕 베일리,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
644,엑시트,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
662,닥터 두리틀,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1
663,스타워즈: 라이즈 오브 스카이워커,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1
699,변신,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
786,남산의 부장들,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
853,쥬만지: 넥스트 레벨,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
876,가장 보통의 연애 ,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
900,레미제라블: 뮤지컬 콘서트,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
926,사일런스,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1
10,미션 임파서블: 폴아웃,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1
12,위 베어 베어스: 베이비 베어스,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
64,신비한 동물들과 그린델왈드의 범죄,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
70,몬스터 호텔 3,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1
89,블랙 팬서 ,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
102,너의 췌장을 먹고 싶어 ,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0
137,베놈,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
150,극한직업,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190,메가로돈: 거대 상어의 습격,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
270,아이 필 프리티,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
308,어벤져스: 인피니티 워,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0
343,크레이지 리치 아시안,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
388,스파이더맨: 뉴 유니버스,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0
395,주먹왕 랄프 2: 인터넷 속으로,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
563,나이브스 아웃,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
568,언더독,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0
604,보헤미안 랩소디,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0
823,오션스8,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
828,쥬라기 월드: 폴른 킹덤,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
837,도어락,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
914,국가부도의 날,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0
20,행성탈출: 최후의 전쟁,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
87,부다페스트 느와르,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1
94,찰스 디킨스의 비밀 서재 ,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0
326,조선명탐정: 흡혈괴마의 비밀,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
829,코코,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1
700,이스케이프 게임,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
696,카르텔 2045,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1
671,독전,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0